1 购物 支出 2023-01-10 50
2 工资 收入 2023-02-15 5000
3 水电费 支出 2023-03-20 200
4 兼职收入 收入 2023-04-12 800
5 聚餐 支出 2023-05-05 300
6 奖金 收入 2023-06-25 1000
7 物业费 支出 2023-07-18 150
8 卖旧物 收入 2023-08-03 200
9 旅游 支出 2023-09-16 3000
10 利息 收入 2023-10-11 50
11 买书 支出 2023-11-22 100
12 投资收益 收入 2023-12-08 1500
13 打车 支出 2024-01-07 80
14 稿费 收入 2024-02-28 1200
15 生活用品 支出 2024-03-14 250
16 租金收入 收入 2024-04-21 3000
17 医疗 支出 2024-05-09 400
18 比赛奖金 收入 2024-06-17 2000
19 网购 支出 2024-07-24 350
20 股息 收入 2024-08-13 800
21 1 1 1 111 空 空 空 空 空 空 空 空 空 空 空
